list1,list2,list3
  1.1687500e+004, -9.9476140e+001,
  1.1718750e+004, -9.8229688e+001,
  1.1750000e+004, -1.0270986e+002,
  1.1781250e+004, -1.0439140e+002,
  1.1812500e+004, -1.0439140e+002,
  1.1843750e+004, -1.0285097e+002,
  1.1875000e+004, -1.0019344e+002,
  1.1906250e+004, -1.0399159e+002,
  1.1937500e+004, -9.5348737e+001,
  1.1968750e+004, -8.8263948e+001,
  1.2000000e+004, -8.5412395e+001,
  1.2031250e+004, -8.9375173e+001,
  1.2062500e+004, -9.7165500e+001,
  1.2093750e+004, -1.0439140e+002,
  1.2125000e+004, -1.0211015e+002,
  1.2156250e+004, -1.0342716e+002,
  1.2187500e+004, -1.0062264e+002,
  1.2218750e+004, -1.0109300e+002,
  1.2250000e+004, -1.0279217e+002,
  1.2281250e+004, -1.0439140e+002,
  1.2312500e+004, -1.0439140e+002,
  1.2343750e+004, -1.0015228e+002,
  1.2375000e+004, -9.9846548e+001,
  1.2406250e+004, -1.0123999e+002,
  1.2437500e+004, -1.0439140e+002,
  1.2468750e+004, -1.0439140e+002,
